United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File POP/15-3: Annual female population by five-year age group, region, subregion and country, 1950-2100 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/POP/F15-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Female population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
5324,Estimates,Niger,,562,Country/Area,914,2019,2276,1887,1543,1240,977,765,619,522,424,346,286,228,173,128,96,56,23,7,1,0,0
5325,Estimates,Niger,,562,Country/Area,914,2020,2347,1952,1606,1295,1024,800,641,540,441,357,296,236,181,132,99,59,24,6,1,0,0
5326,Estimates,Nigeria,,566,Country/Area,914,1950,3101,2499,2161,1879,1638,1429,1232,1037,888,762,685,569,437,310,196,102,40,7,1,0,0
5327,Estimates,Nigeria,,566,Country/Area,914,1951,3155,2553,2197,1907,1659,1447,1252,1056,900,768,685,575,441,311,195,102,42,9,1,0,0
5328,Estimates,Nigeria,,566,Country/Area,914,1952,3194,2606,2241,1944,1685,1468,1273,1078,915,779,686,583,448,313,195,102,42,11,1,0,0
5329,Estimates,Nigeria,,566,Country/Area,914,1953,3234,2651,2290,1987,1714,1491,1295,1103,930,794,687,593,456,316,195,100,40,11,1,0,0
5330,Estimates,Nigeria,,566,Country/Area,914,1954,3284,2684,2340,2033,1747,1517,1319,1129,948,810,691,602,466,322,195,97,37,10,1,0,0
5331,Estimates,Nigeria,,566,Country/Area,914,1955,3352,2704,2385,2082,1785,1544,1343,1154,968,827,700,610,477,329,196,94,32,7,1,0,0
5332,Estimates,Nigeria,,566,Country/Area,914,1956,3440,2761,2420,2119,1817,1567,1362,1174,987,839,706,611,483,334,199,97,34,8,1,0,0
5333,Estimates,Nigeria,,566,Country/Area,914,1957,3517,2819,2458,2161,1854,1592,1383,1195,1009,852,717,611,490,340,202,99,36,9,1,0,0
5334,Estimates,Nigeria,,566,Country/Area,914,1958,3590,2872,2501,2207,1894,1621,1405,1217,1033,867,730,613,499,347,206,99,36,9,1,0,0
5335,Estimates,Nigeria,,566,Country/Area,914,1959,3666,2918,2546,2255,1938,1653,1430,1239,1057,885,746,618,508,355,209,99,34,8,1,0,0
5336,Estimates,Nigeria,,566,Country/Area,914,1960,3755,2957,2590,2304,1985,1690,1457,1263,1082,905,762,627,516,364,214,98,31,6,1,0,0
5337,Estimates,Nigeria,,566,Country/Area,914,1961,3874,3034,2627,2338,2024,1722,1480,1282,1102,923,774,633,517,371,220,103,35,7,1,0,0
5338,Estimates,Nigeria,,566,Country/Area,914,1962,3971,3120,2671,2376,2068,1759,1506,1304,1123,944,787,643,519,378,226,106,37,8,1,0,0
5339,Estimates,Nigeria,,566,Country/Area,914,1963,4055,3207,2723,2418,2113,1800,1535,1327,1145,968,802,657,522,387,231,109,38,9,1,0,0
5340,Estimates,Nigeria,,566,Country/Area,914,1964,4137,3288,2782,2462,2160,1843,1567,1351,1168,992,820,672,527,394,237,110,37,8,1,0,0
5341,Estimates,Nigeria,,566,Country/Area,914,1965,4231,3356,2843,2510,2206,1888,1602,1377,1190,1016,840,689,537,402,244,112,35,7,1,0,0
5342,Estimates,Nigeria,,566,Country/Area,914,1966,4347,3458,2904,2546,2243,1927,1634,1401,1210,1036,857,699,543,404,251,118,39,8,1,0,0
5343,Estimates,Nigeria,,566,Country/Area,914,1967,4443,3560,2978,2588,2281,1970,1670,1426,1231,1056,877,711,552,406,257,123,42,9,1,0,0
5344,Estimates,Nigeria,,566,Country/Area,914,1968,4533,3655,3062,2637,2321,2014,1710,1454,1253,1077,899,726,565,409,264,127,43,10,1,0,0
5345,Estimates,Nigeria,,566,Country/Area,914,1969,4631,3740,3150,2694,2363,2058,1751,1485,1277,1099,923,743,579,415,270,129,43,9,1,0,0
5346,Estimates,Nigeria,,566,Country/Area,914,1970,4753,3812,3236,2759,2408,2102,1794,1519,1302,1122,946,762,594,423,274,131,42,8,1,0,0
5347,Estimates,Nigeria,,566,Country/Area,914,1971,4899,3922,3315,2819,2446,2139,1833,1551,1325,1140,964,778,604,430,278,139,47,10,1,0,0
5348,Estimates,Nigeria,,566,Country/Area,914,1972,5049,4029,3400,2890,2488,2176,1874,1585,1350,1160,983,796,615,439,281,145,50,11,1,0,0
5349,Estimates,Nigeria,,566,Country/Area,914,1973,5207,4130,3492,2969,2534,2215,1916,1623,1377,1181,1003,817,628,449,284,149,52,12,2,0,0
5350,Estimates,Nigeria,,566,Country/Area,914,1974,5379,4228,3590,3055,2590,2256,1960,1664,1407,1205,1025,840,644,462,289,152,53,11,2,0,0
5351,Estimates,Nigeria,,566,Country/Area,914,1975,5571,4326,3687,3148,2656,2303,2005,1707,1441,1232,1049,864,664,476,296,153,52,10,1,0,0
5352,Estimates,Nigeria,,566,Country/Area,914,1976,5798,4474,3777,3235,2729,2352,2049,1750,1475,1256,1067,881,678,485,303,158,57,12,1,0,0
5353,Estimates,Nigeria,,566,Country/Area,914,1977,6003,4641,3876,3331,2814,2408,2097,1797,1514,1283,1090,900,696,496,311,162,62,14,2,0,0
5354,Estimates,Nigeria,,566,Country/Area,914,1978,6192,4818,3985,3431,2906,2470,2148,1847,1557,1314,1114,922,717,508,320,165,65,15,2,0,0
5355,Estimates,Nigeria,,566,Country/Area,914,1979,6376,4991,4101,3531,2999,2537,2200,1898,1601,1347,1140,945,739,523,330,167,65,15,2,0,0
5356,Estimates,Nigeria,,566,Country/Area,914,1980,6564,5147,4224,3629,3091,2608,2254,1948,1645,1382,1167,969,761,540,340,170,63,13,1,0,0
5357,Estimates,Nigeria,,566,Country/Area,914,1981,6784,5344,4351,3707,3163,2666,2294,1987,1685,1413,1189,987,777,554,349,178,68,16,2,0,0
5358,Estimates,Nigeria,,566,Country/Area,914,1982,6971,5539,4494,3788,3236,2728,2333,2025,1726,1446,1213,1006,794,569,358,185,72,18,2,0,0
5359,Estimates,Nigeria,,566,Country/Area,914,1983,7138,5725,4652,3878,3312,2793,2374,2062,1768,1481,1237,1027,813,586,367,191,73,19,3,0,0
5360,Estimates,Nigeria,,566,Country/Area,914,1984,7297,5898,4820,3981,3391,2862,2419,2099,1809,1518,1265,1049,834,604,378,196,73,19,3,0,0
5361,Estimates,Nigeria,,566,Country/Area,914,1985,7463,6056,4990,4103,3475,2933,2471,2138,1849,1558,1295,1074,856,624,391,200,72,17,2,0,0
5362,Estimates,Nigeria,,566,Country/Area,914,1986,7645,6252,5156,4227,3558,3007,2527,2176,1886,1595,1323,1092,870,637,402,208,79,20,3,0,0
5363,Estimates,Nigeria,,566,Country/Area,914,1987,7801,6443,5334,4370,3645,3086,2593,2217,1924,1635,1355,1112,886,650,413,215,84,22,3,0,0
5364,Estimates,Nigeria,,566,Country/Area,914,1988,7944,6619,5521,4529,3740,3170,2664,2261,1963,1677,1390,1137,905,666,425,220,86,22,4,0,0
5365,Estimates,Nigeria,,566,Country/Area,914,1989,8086,6774,5711,4698,3847,3255,2739,2311,2002,1719,1428,1164,926,684,438,225,87,22,4,0,0
5366,Estimates,Nigeria,,566,Country/Area,914,1990,8240,6906,5891,4874,3970,3343,2815,2367,2043,1761,1468,1195,950,703,452,230,85,19,2,0,0
5367,Estimates,Nigeria,,566,Country/Area,914,1991,8418,7082,6058,5038,4095,3425,2888,2423,2080,1796,1503,1220,965,714,463,240,92,23,3,0,0
5368,Estimates,Nigeria,,566,Country/Area,914,1992,8583,7246,6226,5211,4235,3510,2965,2486,2120,1832,1540,1249,983,727,473,249,97,25,4,0,0
5369,Estimates,Nigeria,,566,Country/Area,914,1993,8747,7390,6397,5391,4386,3601,3044,2553,2162,1868,1580,1281,1004,742,484,255,99,26,4,0,0
5370,Estimates,Nigeria,,566,Country/Area,914,1994,8919,7515,6564,5573,4547,3702,3125,2625,2209,1906,1620,1316,1028,759,496,261,99,26,4,0,0
5371,Estimates,Nigeria,,566,Country/Area,914,1995,9114,7624,6717,5754,4715,3818,3208,2697,2261,1945,1659,1354,1057,779,509,266,98,23,3,0,0
5372,Estimates,Nigeria,,566,Country/Area,914,1996,9360,7792,6852,5913,4875,3938,3286,2765,2314,1979,1690,1383,1076,790,517,275,106,27,4,0,0
5373,Estimates,Nigeria,,566,Country/Area,914,1997,9592,7965,6986,6074,5042,4071,3366,2837,2372,2014,1722,1415,1099,802,525,282,112,29,4,0,0
5374,Estimates,Nigeria,,566,Country/Area,914,1998,9820,8137,7122,6237,5212,4215,3451,2911,2436,2054,1755,1450,1125,817,534,287,114,30,5,1,0
5375,Estimates,Nigeria,,566,Country/Area,914,1999,10059,8302,7260,6397,5384,4367,3547,2988,2502,2098,1790,1487,1156,835,544,290,113,29,5,1,0
5376,Estimates,Nigeria,,566,Country/Area,914,2000,10328,8456,7397,6551,5555,4525,3656,3065,2570,2147,1827,1524,1190,858,556,293,109,25,3,0,0
5377,Estimates,Nigeria,,566,Country/Area,914,2001,10662,8675,7530,6674,5708,4676,3767,3137,2633,2194,1855,1548,1211,871,564,301,118,29,4,0,0
5378,Estimates,Nigeria,,566,Country/Area,914,2002,10972,8912,7674,6797,5862,4833,3892,3211,2699,2247,1887,1575,1237,888,571,307,123,32,5,0,0
5379,Estimates,Nigeria,,566,Country/Area,914,2003,11273,9163,7830,6925,6014,4993,4027,3290,2768,2306,1922,1604,1266,907,579,310,125,33,5,1,0
5380,Estimates,Nigeria,,566,Country/Area,914,2004,11576,9418,8001,7059,6162,5153,4169,3379,2839,2369,1963,1636,1297,930,590,312,122,32,5,1,0
5381,Estimates,Nigeria,,566,Country/Area,914,2005,11898,9666,8185,7201,6307,5314,4318,3481,2911,2433,2010,1671,1331,957,603,313,117,27,3,0,0
5382,Estimates,Nigeria,,566,Country/Area,914,2006,12267,9968,8380,7323,6432,5463,4463,3588,2980,2492,2053,1697,1353,977,617,324,126,32,4,0,0
5383,Estimates,Nigeria,,566,Country/Area,914,2007,12595,10291,8603,7460,6557,5614,4616,3709,3053,2556,2105,1726,1377,1000,631,332,132,35,5,1,0
5384,Estimates,Nigeria,,566,Country/Area,914,2008,12901,10626,8847,7614,6682,5763,4772,3841,3131,2623,2162,1761,1405,1026,647,338,135,36,6,1,0
5385,Estimates,Nigeria,,566,Country/Area,914,2009,13209,10959,9108,7788,6811,5907,4928,3980,3218,2693,2223,1801,1437,1054,665,344,134,35,6,1,0
5386,Estimates,Nigeria,,566,Country/Area,914,2010,13538,11275,9382,7982,6947,6046,5083,4123,3316,2765,2285,1848,1471,1084,686,349,130,30,4,0,0
5387,Estimates,Nigeria,,566,Country/Area,914,2011,13883,11627,9674,8172,7078,6175,5232,4267,3423,2832,2343,1889,1495,1105,705,364,141,35,5,0,0
5388,Estimates,Nigeria,,566,Country/Area,914,2012,14223,11971,9987,8385,7217,6299,5380,4415,3541,2902,2405,1938,1523,1127,724,377,148,39,6,1,0
5389,Estimates,Nigeria,,566,Country/Area,914,2013,14561,12303,10316,8623,7367,6422,5525,4567,3668,2978,2470,1992,1555,1152,745,387,152,40,7,1,0
5390,Estimates,Nigeria,,566,Country/Area,914,2014,14888,12621,10650,8885,7533,6547,5666,4719,3802,3063,2538,2051,1594,1181,767,397,152,39,7,1,0
5391,Estimates,Nigeria,,566,Country/Area,914,2015,15205,12929,10980,9170,7721,6679,5802,4870,3941,3160,2608,2113,1640,1213,790,406,149,35,5,0,0
5392,Estimates,Nigeria,,566,Country/Area,914,2016,15543,13276,11305,9449,7915,6810,5928,5015,4081,3262,2673,2166,1678,1235,809,425,163,41,6,0,0
5393,Estimates,Nigeria,,566,Country/Area,914,2017,15823,13630,11635,9755,8130,6951,6052,5161,4227,3377,2741,2225,1723,1261,829,441,172,45,7,1,0
5394,Estimates,Nigeria,,566,Country/Area,914,2018,16067,13982,11967,10083,8366,7102,6176,5305,4377,3502,2816,2289,1775,1291,851,456,178,47,8,1,0
5395,Estimates,Nigeria,,566,Country/Area,914,2019,16305,14319,12300,10421,8622,7267,6302,5445,4526,3635,2900,2356,1832,1327,874,468,180,46,8,1,0
5396,Estimates,Nigeria,,566,Country/Area,914,2020,16561,14626,12633,10759,8898,7448,6431,5578,4673,3771,2996,2426,1892,1369,901,480,179,41,5,0,0
5397,Estimates,Senegal,,686,Country/Area,914,1950,216,166,145,127,111,95,82,71,60,51,42,34,28,21,14,8,3,1,0,0,0
5398,Estimates,Senegal,,686,Country/Area,914,1951,225,170,147,129,113,97,84,72,61,51,42,34,27,21,14,8,3,1,0,0,0
5399,Estimates,Senegal,,686,Country/Area,914,1952,236,174,149,131,115,99,85,73,62,52,43,35,27,21,14,8,3,1,0,0,0
5400,Estimates,Senegal,,686,Country/Area,914,1953,245,177,152,134,117,101,87,75,64,54,44,35,27,21,14,7,3,1,0,0,0
5401,Estimates,Senegal,,686,Country/Area,914,1954,253,180,155,137,120,104,89,77,65,55,45,36,28,21,14,7,3,1,0,0,0
5402,Estimates,Senegal,,686,Country/Area,914,1955,262,184,159,140,123,107,92,79,67,56,47,37,28,21,14,7,2,1,0,0,0
5403,Estimates,Senegal,,686,Country/Area,914,1956,274,191,160,142,125,109,93,80,68,57,48,38,29,21,14,7,3,1,0,0,0
5404,Estimates,Senegal,,686,Country/Area,914,1957,281,200,163,145,127,111,95,82,70,59,49,39,29,21,14,7,3,1,0,0,0
5405,Estimates,Senegal,,686,Country/Area,914,1958,286,209,167,148,130,114,98,84,71,60,50,40,30,21,14,7,3,1,0,0,0
5406,Estimates,Senegal,,686,Country/Area,914,1959,291,219,171,151,133,116,101,86,73,62,51,41,31,22,14,7,3,1,0,0,0
5407,Estimates,Senegal,,686,Country/Area,914,1960,298,226,177,154,136,119,103,88,75,63,53,42,32,22,14,7,2,1,0,0,0
5408,Estimates,Senegal,,686,Country/Area,914,1961,306,236,183,157,139,122,105,90,77,65,54,43,33,23,14,7,3,1,0,0,0
5409,Estimates,Senegal,,686,Country/Area,914,1962,314,244,191,160,142,124,108,92,78,66,55,44,33,23,14,7,3,1,0,0,0
5410,Estimates,Senegal,,686,Country/Area,914,1963,323,251,200,163,145,127,110,94,80,68,56,45,34,24,14,7,3,1,0,0,0
5411,Estimates,Senegal,,686,Country/Area,914,1964,333,255,210,167,148,130,113,97,82,69,58,47,35,24,15,7,3,1,0,0,0
5412,Estimates,Senegal,,686,Country/Area,914,1965,343,259,218,172,151,133,116,100,84,71,59,48,37,25,15,7,3,1,0,0,0
5413,Estimates,Senegal,,686,Country/Area,914,1966,355,267,224,179,153,136,118,102,86,73,60,49,37,26,15,8,3,1,0,0,0
5414,Estimates,Senegal,,686,Country/Area,914,1967,365,276,231,187,156,139,121,104,88,74,62,50,38,26,16,8,3,1,0,0,0
5415,Estimates,Senegal,,686,Country/Area,914,1968,374,284,237,196,160,142,124,107,91,76,63,51,39,27,16,8,3,1,0,0,0
5416,Estimates,Senegal,,686,Country/Area,914,1969,383,291,244,205,164,146,128,110,93,78,65,53,40,28,17,8,3,1,0,0,0
5417,Estimates,Senegal,,686,Country/Area,914,1970,394,297,250,214,170,149,131,113,96,81,67,54,42,29,17,8,3,1,0,0,0
5418,Estimates,Senegal,,686,Country/Area,914,1971,409,307,256,220,176,152,134,115,98,83,69,55,42,30,18,8,3,1,0,0,0
5419,Estimates,Senegal,,686,Country/Area,914,1972,422,318,263,227,184,154,137,118,101,85,70,57,43,30,18,9,3,1,0,0,0
5420,Estimates,Senegal,,686,Country/Area,914,1973,434,329,271,233,193,157,140,121,103,87,72,58,45,31,19,9,3,1,0,0,0
5421,Estimates,Senegal,,686,Country/Area,914,1974,445,339,279,239,202,162,143,124,106,90,74,60,46,32,20,9,3,1,0,0,0
5422,Estimates,Senegal,,686,Country/Area,914,1975,458,346,288,245,209,167,146,127,109,92,76,62,48,33,20,10,3,1,0,0,0
5423,Estimates,Senegal,,686,Country/Area,914,1976,476,360,295,250,214,171,147,129,111,94,78,63,49,34,21,10,4,1,0,0,0
5424,Estimates,Senegal,,686,Country/Area,914,1977,491,375,304,255,217,176,148,131,113,96,80,65,50,35,22,11,4,1,0,0,0
5425,Estimates,Senegal,,686,Country/Area,914,1978,503,389,314,262,221,182,149,133,115,98,82,66,51,37,23,11,4,1,0,0,0
5426,Estimates,Senegal,,686,Country/Area,914,1979,516,402,325,270,226,188,151,134,117,100,84,68,53,38,23,12,4,1,0,0,0
5427,Estimates,Senegal,,686,Country/Area,914,1980,531,414,337,279,231,194,154,136,119,102,86,70,55,39,24,12,4,1,0,0,0
5428,Estimates,Senegal,,686,Country/Area,914,1981,549,430,348,286,237,199,158,137,121,104,88,71,56,40,25,13,5,1,0,0,0
5429,Estimates,Senegal,,686,Country/Area,914,1982,566,447,361,296,243,204,164,138,123,106,90,73,57,42,26,14,5,1,0,0,0
5430,Estimates,Senegal,,686,Country/Area,914,1983,583,463,375,306,251,208,171,140,125,108,92,75,59,43,27,14,5,1,0,0,0
5431,Estimates,Senegal,,686,Country/Area,914,1984,599,479,391,317,259,214,178,142,127,111,94,78,61,45,29,15,6,1,0,0,0
5432,Estimates,Senegal,,686,Country/Area,914,1985,615,493,406,330,268,220,184,146,129,113,97,80,63,46,30,16,6,1,0,0,0
5433,Estimates,Senegal,,686,Country/Area,914,1986,633,511,421,342,277,226,189,151,131,115,99,82,65,48,31,16,6,2,0,0,0
5434,Estimates,Senegal,,686,Country/Area,914,1987,645,530,436,355,287,234,195,157,132,118,101,84,67,49,32,17,7,2,0,0,0
5435,Estimates,Senegal,,686,Country/Area,914,1988,655,549,452,370,298,242,200,164,134,120,104,86,69,51,34,18,7,2,0,0,0
5436,Estimates,Senegal,,686,Country/Area,914,1989,664,567,469,385,310,251,206,171,137,122,106,89,71,53,35,19,8,2,0,0,0
5437,Estimates,Senegal,,686,Country/Area,914,1990,676,583,487,401,322,260,212,178,141,124,109,91,74,55,37,20,8,2,0,0,0
5438,Estimates,Senegal,,686,Country/Area,914,1991,688,600,504,416,335,270,219,184,146,126,111,94,75,57,38,21,9,2,0,0,0
5439,Estimates,Senegal,,686,Country/Area,914,1992,703,615,523,431,349,280,227,189,153,128,113,96,78,58,39,22,9,3,0,0,0
5440,Estimates,Senegal,,686,Country/Area,914,1993,718,627,542,447,363,290,235,195,160,130,115,98,80,60,41,23,10,3,0,0,0
5441,Estimates,Senegal,,686,Country/Area,914,1994,734,637,560,463,378,302,243,200,166,133,118,101,82,62,42,24,10,3,0,0,0
5442,Estimates,Senegal,,686,Country/Area,914,1995,749,645,576,481,393,314,252,206,173,137,120,103,84,65,44,25,10,3,0,0,0
5443,Estimates,Senegal,,686,Country/Area,914,1996,767,659,589,497,406,325,261,212,178,141,121,105,86,66,45,26,11,3,0,0,0
5444,Estimates,Senegal,,686,Country/Area,914,1997,782,673,602,514,419,336,270,219,183,147,123,107,88,68,47,27,12,4,1,0,0
5445,Estimates,Senegal,,686,Country/Area,914,1998,794,687,613,532,433,349,279,226,187,153,124,109,90,69,48,28,12,4,1,0,0
5446,Estimates,Senegal,,686,Country/Area,914,1999,806,700,625,550,448,361,288,233,192,159,127,111,92,71,50,29,13,4,1,0,0
5447,Estimates,Senegal,,686,Country/Area,914,2000,820,711,637,566,464,374,299,241,197,165,130,113,94,74,51,30,13,4,1,0,0
5448,Estimates,Senegal,,686,Country/Area,914,2001,838,726,648,579,480,387,310,249,203,170,134,114,96,75,53,31,14,4,1,0,0
5449,Estimates,Senegal,,686,Country/Area,914,2002,854,742,660,591,498,401,322,258,210,175,140,115,98,77,54,32,14,4,1,0,0
5450,Estimates,Senegal,,686,Country/Area,914,2003,870,758,674,602,516,415,334,268,217,180,146,117,100,79,55,33,15,5,1,0,0
5451,Estimates,Senegal,,686,Country/Area,914,2004,888,773,688,614,533,429,346,278,225,185,152,119,102,81,57,34,15,5,1,0,0
5452,Estimates,Senegal,,686,Country/Area,914,2005,910,788,702,626,549,445,359,288,233,190,158,123,104,83,59,35,15,4,1,0,0
5453,Estimates,Senegal,,686,Country/Area,914,2006,937,806,716,638,562,461,372,299,241,196,163,127,105,84,60,36,16,5,1,0,0
5454,Estimates,Senegal,,686,Country/Area,914,2007,965,825,730,650,574,479,386,310,250,202,168,132,106,86,62,37,17,5,1,0,0
5455,Estimates,Senegal,,686,Country/Area,914,2008,996,845,746,663,585,497,399,322,259,209,172,138,108,88,63,38,18,6,1,0,0
5456,Estimates,Senegal,,686,Country/Area,914,2009,1027,866,762,677,597,514,413,335,268,217,177,144,110,89,65,39,18,6,1,0,0
5457,Estimates,Senegal,,686,Country/Area,914,2010,1059,888,779,692,609,529,429,347,279,225,183,150,114,91,67,41,18,5,1,0,0
5458,Estimates,Senegal,,686,Country/Area,914,2011,1095,914,796,705,621,543,445,360,289,233,188,155,118,93,68,42,20,6,1,0,0
5459,Estimates,Senegal,,686,Country/Area,914,2012,1127,944,814,720,634,555,462,373,300,241,194,159,123,94,70,43,21,7,1,0,0
5460,Estimates,Senegal,,686,Country/Area,914,2013,1156,976,834,736,648,567,480,386,312,250,201,164,129,96,72,45,21,7,1,0,0
5461,Estimates,Senegal,,686,Country/Area,914,2014,1181,1010,856,752,662,579,497,401,325,260,209,169,135,98,74,46,22,7,1,0,0
5462,Estimates,Senegal,,686,Country/Area,914,2015,1205,1043,881,770,676,591,513,416,337,270,216,174,140,102,76,48,22,7,1,0,0
5463,Estimates,Senegal,,686,Country/Area,914,2016,1228,1075,908,788,692,604,528,433,350,281,224,180,144,105,77,49,24,8,1,0,0
5464,Estimates,Senegal,,686,Country/Area,914,2017,1246,1107,939,806,708,619,541,451,363,292,233,186,149,110,78,50,25,8,2,0,0
5465,Estimates,Senegal,,686,Country/Area,914,2018,1260,1138,971,827,724,634,554,469,377,304,242,193,153,116,79,52,26,9,2,0,0
5466,Estimates,Senegal,,686,Country/Area,914,2019,1274,1167,1004,849,742,649,566,487,392,317,252,200,158,121,82,53,26,9,2,0,0
5467,Estimates,Senegal,,686,Country/Area,914,2020,1289,1192,1037,875,760,664,579,503,408,329,262,208,164,126,85,55,27,9,1,0,0
5468,Estimates,Sierra Leone,,694,Country/Area,914,1950,164,128,113,101,91,81,71,62,54,46,39,32,25,17,11,5,1,1,0,0,0
5469,Estimates,Sierra Leone,,694,Country/Area,914,1951,166,130,113,102,92,82,72,63,54,47,39,32,25,18,11,5,2,1,0,0,0
5470,Estimates,Sierra Leone,,694,Country/Area,914,1952,167,132,115,103,92,82,73,63,55,47,40,33,25,18,11,6,2,1,0,0,0
5471,Estimates,Sierra Leone,,694,Country/Area,914,1953,167,134,117,104,93,83,74,64,56,48,41,33,26,19,12,6,2,1,0,0,0
5472,Estimates,Sierra Leone,,694,Country/Area,914,1954,167,134,119,106,94,84,75,65,57,49,41,34,27,19,12,6,2,1,0,0,0
5473,Estimates,Sierra Leone,,694,Country/Area,914,1955,169,133,120,107,96,85,76,66,57,50,42,35,27,20,12,6,3,1,0,0,0
5474,Estimates,Sierra Leone,,694,Country/Area,914,1956,173,136,121,108,97,86,76,67,58,50,43,35,28,20,13,7,3,1,0,0,0
5475,Estimates,Sierra Leone,,694,Country/Area,914,1957,176,138,122,110,97,87,77,68,59,51,43,36,28,20,13,7,3,1,0,0,0
5476,Estimates,Sierra Leone,,694,Country/Area,914,1958,178,140,123,112,99,88,78,68,60,52,44,36,29,21,13,7,3,1,0,0,0
5477,Estimates,Sierra Leone,,694,Country/Area,914,1959,180,141,125,113,100,89,79,69,60,52,45,37,29,21,14,7,3,1,0,0,0
5478,Estimates,Sierra Leone,,694,Country/Area,914,1960,184,141,126,115,102,90,80,70,61,53,45,38,30,22,14,8,3,1,0,0,0
5479,Estimates,Sierra Leone,,694,Country/Area,914,1961,190,144,127,116,103,91,80,71,62,54,46,38,30,22,14,8,3,1,0,0,0
5480,Estimates,Sierra Leone,,694,Country/Area,914,1962,194,148,128,117,104,92,81,72,63,54,47,39,31,22,15,8,4,1,0,0,0
5481,Estimates,Sierra Leone,,694,Country/Area,914,1963,198,151,130,118,106,93,82,73,64,55,47,39,31,23,15,8,4,1,0,0,0
5482,Estimates,Sierra Leone,,694,Country/Area,914,1964,202,154,132,119,108,94,83,73,64,56,48,40,32,23,15,8,4,1,0,0,0
5483,Estimates,Sierra Leone,,694,Country/Area,914,1965,207,156,134,121,109,96,84,75,65,57,49,41,32,24,16,9,4,1,0,0,0
5484,Estimates,Sierra Leone,,694,Country/Area,914,1966,213,161,136,122,110,97,85,75,66,58,49,41,33,24,16,9,4,1,0,0,0
5485,Estimates,Sierra Leone,,694,Country/Area,914,1967,218,166,138,123,111,99,86,76,67,58,50,42,33,25,16,9,4,1,0,0,0
5486,Estimates,Sierra Leone,,694,Country/Area,914,1968,222,171,141,125,113,100,88,77,68,59,51,43,34,25,17,9,4,1,0,0,0
5487,Estimates,Sierra Leone,,694,Country/Area,914,1969,227,175,145,126,114,102,89,78,69,60,52,43,35,26,17,9,4,1,0,0,0
5488,Estimates,Sierra Leone,,694,Country/Area,914,1970,232,179,149,129,115,104,90,79,70,61,53,44,35,26,17,10,4,1,0,0,0
5489,Estimates,Sierra Leone,,694,Country/Area,914,1971,239,185,152,131,117,105,92,80,70,62,53,45,36,27,18,10,4,2,0,0,0
5490,Estimates,Sierra Leone,,694,Country/Area,914,1972,245,190,156,133,118,106,93,81,71,62,54,45,36,27,18,10,5,2,0,0,0
5491,Estimates,Sierra Leone,,694,Country/Area,914,1973,250,196,161,136,119,107,95,82,72,63,55,46,37,27,18,10,5,2,0,0,0
5492,Estimates,Sierra Leone,,694,Country/Area,914,1974,256,201,166,140,121,108,97,84,73,64,55,47,38,28,19,11,5,2,0,0,0
5493,Estimates,Sierra Leone,,694,Country/Area,914,1975,263,205,171,144,123,110,98,85,74,65,56,48,38,29,19,11,5,2,0,0,0
5494,Estimates,Sierra Leone,,694,Country/Area,914,1976,271,211,176,147,125,111,99,87,75,66,57,48,39,29,19,11,5,2,0,0,0
5495,Estimates,Sierra Leone,,694,Country/Area,914,1977,277,218,181,152,128,112,101,88,76,67,58,49,39,29,20,11,5,2,0,0,0
5496,Estimates,Sierra Leone,,694,Country/Area,914,1978,283,224,186,156,131,114,102,90,78,68,59,49,40,30,20,11,5,2,0,0,0
5497,Estimates,Sierra Leone,,694,Country/Area,914,1979,288,230,192,161,134,116,103,91,79,69,59,50,41,31,20,12,5,2,0,0,0
5498,Estimates,Sierra Leone,,694,Country/Area,914,1980,295,235,197,166,138,118,105,93,80,70,60,51,41,31,21,12,5,2,0,0,0
5499,Estimates,Sierra Leone,,694,Country/Area,914,1981,304,242,202,170,142,120,106,94,82,71,61,52,42,32,21,12,6,2,0,0,0
5500,Estimates,Sierra Leone,,694,Country/Area,914,1982,312,249,208,175,146,122,107,95,83,72,62,52,42,32,22,12,6,2,1,0,0
5501,Estimates,Sierra Leone,,694,Country/Area,914,1983,319,255,213,180,150,125,108,96,84,73,63,53,43,32,22,13,6,2,1,0,0
5502,Estimates,Sierra Leone,,694,Country/Area,914,1984,328,261,220,185,154,128,110,97,86,74,64,54,44,33,22,13,6,2,1,0,0
